50,0,0
49.9,0.06474996782,-0.06474996782
49.8,0.1293266894,-0.1293266894
49.7,0.1937286401,-0.1937286401
49.6,0.2579542955,-0.2579542955
49.5,0.3220021308,-0.3220021308
49.4,0.3858706215,-0.3858706215
49.3,0.4495582431,-0.4495582431
49.2,0.5130634709,-0.5130634709
49.1,0.5763847803,-0.5763847803
49,0.6395206468,-0.6395206468
48.9,0.7024695457,-0.7024695457
48.8,0.7652299526,-0.7652299526
48.7,0.8278003427,-0.8278003427
48.6,0.8901791915,-0.8901791915
48.5,0.9523649745,-0.9523649745
48.4,1.014356167,-1.014356167
48.3,1.076151244,-1.076151244
48.2,1.137748682,-1.137748682
48.1,1.199146956,-1.199146956
48,1.26034454,-1.26034454
47.9,1.321339912,-1.321339912
47.8,1.382131545,-1.382131545
47.7,1.442717916,-1.442717916
47.6,1.503097499,-1.503097499
47.5,1.563268771,-1.563268771
47.4,1.623230207,-1.623230207
47.3,1.682980281,-1.682980281
47.2,1.74251747,-1.74251747
47.1,1.801840249,-1.801840249
47,1.860947094,-1.860947094
46.9,1.919836478,-1.919836478
46.8,1.97850688,-1.97850688
46.7,2.036956772,-2.036956772
46.6,2.095184632,-2.095184632
46.5,2.153188934,-2.153188934
46.4,2.210968153,-2.210968153
46.3,2.268520766,-2.268520766
46.2,2.325845248,-2.325845248
46.1,2.382940073,-2.382940073
46,2.439803718,-2.439803718
45.9,2.496434658,-2.496434658
45.8,2.552831368,-2.552831368
45.7,2.608992324,-2.608992324
45.6,2.664916001,-2.664916001
45.5,2.720600874,-2.720600874
45.4,2.776045419,-2.776045419
45.3,2.831248112,-2.831248112
45.2,2.886207427,-2.886207427
45.1,2.94092184,-2.94092184
45,2.995389827,-2.995389827
44.9,3.049609863,-3.049609863
44.8,3.103580423,-3.103580423
44.7,3.157299983,-3.157299983
44.6,3.210767019,-3.210767019
44.5,3.263980005,-3.263980005
44.4,3.316937417,-3.316937417
44.3,3.36963773,-3.36963773
44.2,3.42207942,-3.42207942
44.1,3.474260963,-3.474260963
44,3.526180833,-3.526180833
43.9,3.577837506,-3.577837506
43.8,3.629229458,-3.629229458
43.7,3.680355163,-3.680355163
43.6,3.731213098,-3.731213098
43.5,3.781801738,-3.781801738
43.4,3.832119558,-3.832119558
43.3,3.882165033,-3.882165033
43.2,3.93193664,-3.93193664
43.1,3.981432853,-3.981432853
43,4.030652147,-4.030652147
42.9,4.079592999,-4.079592999
